Port,Service,Status,Risk Level
60,Unknown Service,CLOSED,UNKNOWN
61,Unknown Service,CLOSED,UNKNOWN
62,Unknown Service,CLOSED,UNKNOWN
63,Unknown Service,CLOSED,UNKNOWN
64,Unknown Service,CLOSED,UNKNOWN
65,Unknown Service,CLOSED,UNKNOWN
66,Unknown Service,CLOSED,UNKNOWN
67,DHCP Server,CLOSED,MEDIUM
68,DHCP Client,CLOSED,MEDIUM
69,TFTP,CLOSED,HIGH
70,Gopher,CLOSED,UNKNOWN
71,Unknown Service,CLOSED,UNKNOWN
72,Unknown Service,CLOSED,UNKNOWN
73,Unknown Service,CLOSED,UNKNOWN
74,Unknown Service,CLOSED,UNKNOWN
75,Unknown Service,CLOSED,UNKNOWN
76,Unknown Service,CLOSED,UNKNOWN
77,Unknown Service,CLOSED,UNKNOWN
78,Unknown Service,CLOSED,UNKNOWN
79,Finger,CLOSED,UNKNOWN
80,HTTP,CLOSED,MEDIUM
81,Unknown Service,CLOSED,UNKNOWN
82,Unknown Service,CLOSED,UNKNOWN
83,Unknown Service,CLOSED,UNKNOWN
84,Unknown Service,CLOSED,UNKNOWN
85,Unknown Service,CLOSED,UNKNOWN
86,Unknown Service,CLOSED,UNKNOWN
87,Unknown Service,CLOSED,UNKNOWN
88,Kerberos,CLOSED,UNKNOWN
89,Unknown Service,CLOSED,UNKNOWN
90,Unknown Service,CLOSED,UNKNOWN
91,Unknown Service,CLOSED,UNKNOWN
92,Unknown Service,CLOSED,UNKNOWN
93,Unknown Service,CLOSED,UNKNOWN
94,Unknown Service,CLOSED,UNKNOWN
95,Unknown Service,CLOSED,UNKNOWN
96,Unknown Service,CLOSED,UNKNOWN
97,Unknown Service,CLOSED,UNKNOWN
98,Unknown Service,CLOSED,UNKNOWN
99,Unknown Service,CLOSED,UNKNOWN
100,Unknown Service,CLOSED,UNKNOWN
101,HOSTNAME,CLOSED,UNKNOWN
102,ISO-TSAP,CLOSED,UNKNOWN
103,Unknown Service,CLOSED,UNKNOWN
104,Unknown Service,CLOSED,UNKNOWN
105,Unknown Service,CLOSED,UNKNOWN
106,Unknown Service,CLOSED,UNKNOWN
107,RTELNET,CLOSED,UNKNOWN
108,Unknown Service,CLOSED,UNKNOWN
109,POP2,CLOSED,UNKNOWN
110,POP3,CLOSED,UNKNOWN
111,RPCBIND,CLOSED,UNKNOWN
112,Unknown Service,CLOSED,UNKNOWN
113,Ident,CLOSED,UNKNOWN
114,Unknown Service,CLOSED,UNKNOWN
115,SFTP,CLOSED,UNKNOWN
116,Unknown Service,CLOSED,UNKNOWN
117,Unknown Service,CLOSED,UNKNOWN
118,SQL Services,CLOSED,UNKNOWN
119,NNTP,CLOSED,UNKNOWN
120,Unknown Service,CLOSED,UNKNOWN
121,Unknown Service,CLOSED,UNKNOWN
122,Unknown Service,CLOSED,UNKNOWN
123,NTP,CLOSED,UNKNOWN
124,Unknown Service,CLOSED,UNKNOWN
125,Unknown Service,CLOSED,UNKNOWN
126,Unknown Service,CLOSED,UNKNOWN
127,Unknown Service,CLOSED,UNKNOWN
128,Unknown Service,CLOSED,UNKNOWN
129,Unknown Service,CLOSED,UNKNOWN
130,Unknown Service,CLOSED,UNKNOWN
131,Unknown Service,CLOSED,UNKNOWN
132,Unknown Service,CLOSED,UNKNOWN
133,Unknown Service,CLOSED,UNKNOWN
134,Unknown Service,CLOSED,UNKNOWN
135,RPC,OPEN,HIGH
136,Unknown Service,CLOSED,UNKNOWN
137,NetBIOS Name Service,FILTERED,HIGH
138,NetBIOS Datagram Service,CLOSED,HIGH
139,NetBIOS Session Service,OPEN,HIGH
140,Unknown Service,CLOSED,UNKNOWN
141,Unknown Service,CLOSED,UNKNOWN
142,Unknown Service,CLOSED,UNKNOWN
143,IMAP,CLOSED,UNKNOWN
144,Unknown Service,CLOSED,UNKNOWN
145,Unknown Service,CLOSED,UNKNOWN
146,Unknown Service,CLOSED,UNKNOWN
147,Unknown Service,CLOSED,UNKNOWN
148,Unknown Service,CLOSED,UNKNOWN
149,Unknown Service,CLOSED,UNKNOWN
150,Unknown Service,CLOSED,UNKNOWN
